force,strain
1.0349046,8.059000000000001
1.0349046,7.582000000000001
1.0349046,7.1049999999999995
1.0349046,3.364
1.0349046,2.926
1.0349046,2.504
1.0349046,0.345
1.0349046,0.24200000000000002
1.0349046,0.173
1.0349046,17.462
1.0349046,17.061
1.0349046,16.494000000000003
1.0349046,12.843
1.0349046,12.367
1.0349046,11.889999999999999
1.0349046,8.068
1.0349046,7.59
1.0349046,7.113
1.0349046,3.337
1.0349046,2.8779999999999997
1.0349046,2.424
1.0349046,0.317
1.0349046,0.241
1.0349046,0.176
1.0349046,17.462999999999997
1.0349046,17.062
1.0349046,16.495
1.0349046,12.844
1.0349046,12.368
1.0349046,11.891
1.0349046,8.069
1.0349046,7.5920000000000005
1.0349046,7.114999999999999
1.0349046,3.3400000000000003
1.0349046,2.8810000000000002
1.0349046,2.4269999999999996
1.0349046,0.32
1.0349046,0.243
1.0349046,0.17800000000000002
1.0349046,17.272
1.0349046,16.829
1.0349046,16.347
1.0349046,12.833
1.0349046,12.357999999999999
1.0349046,11.881
1.0349046,8.059000000000001
1.0349046,7.582000000000001
1.0349046,7.1049999999999995
1.0349046,3.364
1.0349046,2.925
1.0349046,2.5050000000000003
1.0349046,0.34700000000000003
1.0349046,0.237
1.0349046,0.173
1.0349046,17.462
1.0349046,17.061
1.0349046,16.494000000000003
1.0349046,12.843
1.0349046,12.367
1.0349046,11.889999999999999
1.0349046,8.068
1.0349046,7.59
1.0349046,7.113
1.0349046,3.337
1.0349046,2.8779999999999997
1.0349046,2.424
1.0349046,0.314
1.0349046,0.24
1.0349046,0.176
10.4206131,175.839
10.4206131,171.801
10.4206131,166.089
10.4206131,129.33
10.4206131,124.53200000000001
10.4206131,119.729
10.4206131,81.251
10.4206131,76.44500000000001
10.4206131,71.642
10.4206131,33.632
10.4206131,29.012
10.4206131,24.441
10.4206131,3.256
10.4206131,2.4650000000000003
10.4206131,1.796
10.4206131,173.916
10.4206131,169.452
10.4206131,164.60399999999998
10.4206131,129.219
10.4206131,124.43099999999998
10.4206131,119.633
10.4206131,81.149
10.4206131,76.342
10.4206131,71.53899999999999
10.4206131,33.873
10.4206131,29.461000000000002
10.4206131,25.215000000000003
10.4206131,3.479
10.4206131,2.436
10.4206131,1.74
10.4206131,175.83
10.4206131,171.789
10.4206131,166.08
10.4206131,129.32
10.4206131,124.521
10.4206131,119.71799999999999
10.4206131,81.235
10.4206131,76.428
10.4206131,71.62400000000001
10.4206131,33.602000000000004
10.4206131,28.98
10.4206131,24.409
10.4206131,3.194
10.4206131,2.431
10.4206131,1.776
10.4206131,175.839
10.4206131,171.801
